x,y
0.0,22.47857643183974
13.51736831665039,2.024800483063667
27.187681436538696,1.6268444522002117
39.81561732292175,26.471315715498942
52.73959922790527,0.5941775072118398
65.3941912651062,0.2483718309093487
78.30456495285034,0.1595951489828964
91.247296333313,0.1338934262882491
104.037442445755,0.1203624708905105
116.78231430053712,0.0837679660652221
129.61091947555542,0.055785089062623
142.5672948360443,0.0504204112089972
155.26912665367126,0.046374681416573
168.08173179626465,0.0363482107261512
180.8495044708252,0.0329305486941017
