x,y
0.0,22.47857643183974
11.70577311515808,2.024800483063667
23.355982542037964,2.0089283389738277
35.04114127159119,1.9797345878069037
46.73368000984192,1.8867730051359493
58.931506395339966,1.675647026355111
70.29887962341309,3.641474944885665
81.23031401634216,2.275407885755218
92.18621897697447,0.5181455681145287
103.178227186203,0.2331251168907401
114.14122462272644,0.1389458810261052
125.0577495098114,0.0977709278775415
136.0604419708252,0.0807672527555035
146.9857943058014,0.0722939647744095
157.86613368988037,0.059323067463566
