x,y
0.0,22.47857643183974
11.672832727432253,2.024800483063667
23.161567449569706,1.6267492458030637
34.06047320365906,26.95840880873055
45.33251619338989,0.5942960450113982
56.23753213882446,0.2460256759009831
67.66309571266174,0.1552788437980948
79.38146805763245,0.1278148061406208
91.48136591911316,0.1117562559096654
102.57444167137146,0.075498790739185
114.14233779907228,0.0490643168432591
126.82793188095091,0.0347346836719264
139.61490511894226,0.031580789886407
154.3692843914032,0.0287829784428583
170.8252956867218,0.025873297172192
